session,side,rng_pips,sweep_m,depth_pips,reclaim_min,entry_px,spread_pips,fade_outcome,fade_r,fade_minutes,fade_rr,cont_bps_60,cont_bps_120,symbol,mode,window,reclaimed,sweep_hour
2022-11-16,-1,114.94999999999891,600,245.50000000000125,,,,,,,,17.701398195459674,8.564036778776694,USDJPY,lagged,A00-07/obs16,False,7
2022-11-20,1,63.49999999999909,600,143.29999999999927,,,,,,,,9.944276536123391,23.049412399802566,USDJPY,lagged,A00-07/obs16,False,7
2022-11-21,1,142.40000000000066,600,174.20000000000186,,,,,,,,-10.952169656502583,-18.840549087552848,USDJPY,lagged,A00-07/obs16,False,7
2022-11-22,1,57.90000000000077,600,181.0500000000019,526.0,139.76,0.6493827160493255,OPEN,0.013283740701369192,12.0,0.28560042507969435,-9.19852540561927,-0.49530521414910117,USDJPY,lagged,A00-07/obs16,True,7
2022-11-23,-1,85.00000000000227,600,160.14999999999873,,,,,,,,-10.478669965109042,1.260321129822733,USDJPY,lagged,A00-07/obs16,False,7
2022-11-27,-1,60.599999999999454,600,413.74999999999886,,,,,,,,-9.186788385583332,37.75987037224514,USDJPY,lagged,A00-07/obs16,False,7
2022-11-28,-1,59.950000000000614,600,304.34999999999945,,,,,,,,31.994286476911224,33.4731655587096,USDJPY,lagged,A00-07/obs16,False,7
2022-11-29,-1,88.35000000000264,600,24.00000000000091,69.0,138.63299999999998,0.6441048034933357,TP,2.9503424657535287,410.0,2.9503424657535287,1.9846782836504666,-7.108756761440211,USDJPY,lagged,A00-07/obs16,True,7
2022-11-30,-1,67.65000000000043,600,284.40000000000225,,,,,,,,-29.090909090910195,-14.10468319559282,USDJPY,lagged,A00-07/obs16,False,7
2022-12-04,-1,103.5000000000025,600,367.7999999999997,,,,,,,,-32.184539542064925,-41.761945772577434,USDJPY,lagged,A00-07/obs16,False,7
2022-12-05,-1,61.64999999999736,600,236.75000000000068,,,,,,,,27.157689339332084,49.728423106606144,USDJPY,lagged,A00-07/obs16,False,7
2022-12-06,1,133.75000000000057,600,10.74999999999875,7.0,137.5435,0.8679245283017516,SL,-1.0,4.0,9.649819494585303,-13.409502213113992,-7.1953426509379055,USDJPY,lagged,A00-07/obs16,True,7
2022-12-07,1,58.80000000000223,600,155.44999999999902,,,,,,,,8.707104704761202,7.609570498279432,USDJPY,lagged,A00-07/obs16,False,7
2022-12-11,1,109.50000000000273,1137,5.699999999998795,,,,,,,,-0.8004948513644145,-0.8004948513644145,USDJPY,lagged,A00-07/obs16,False,15
2022-12-12,-1,106.65000000000191,990,213.34999999999695,,,,,,,,38.17230698804434,6.054408458451151,USDJPY,lagged,A00-07/obs16,False,13
2022-12-13,-1,97.20000000000084,600,176.400000000001,,,,,,,,-14.703437575039906,-1.3669024881311382,USDJPY,lagged,A00-07/obs16,False,7
2022-12-14,-1,111.60000000000139,600,12.549999999998818,12.0,135.7655,0.6580952380953488,TP,7.203225806451573,232.0,7.203225806451573,-9.83780517461168,-60.16904812786867,USDJPY,lagged,A00-07/obs16,True,7
2022-12-18,-1,48.30000000000041,600,173.55000000000018,,,,,,,,19.919733031473662,9.959866515735786,USDJPY,lagged,A00-07/obs16,False,7
2022-12-19,-1,40.2499999999975,600,392.90000000000305,,,,,,,,56.60356126050821,81.77320314639304,USDJPY,lagged,A00-07/obs16,False,7
2022-12-20,-1,59.94999999999777,600,373.6000000000047,,,,,,,,34.8780026480055,45.28087762436174,USDJPY,lagged,A00-07/obs16,False,7
2022-12-21,-1,83.59999999999843,600,514.0500000000031,,,,,,,,-7.583685974728571,-11.110099952979231,USDJPY,lagged,A00-07/obs16,False,7
2022-12-25,-1,480.2500000000009,600,2.7999999999991587,1.0,132.686,2.238095238095774,SL,-1.0,9.0,68.93525179855614,-7.501140248704467,-18.696309363608574,USDJPY,lagged,A00-07/obs16,True,7
2022-12-26,1,87.55000000000166,600,122.35000000000014,,,,,,,,7.078020112118406,24.35893091777254,USDJPY,lagged,A00-07/obs16,False,7
2022-12-27,1,81.89999999999884,600,181.49999999999693,,,,,,,,-11.492322904423155,8.843118598532355,USDJPY,lagged,A00-07/obs16,False,7
2022-12-28,1,52.15000000000032,600,108.5000000000008,,,,,,,,4.598285549795967,-10.318104160512078,USDJPY,lagged,A00-07/obs16,False,7
2023-01-01,-1,54.55000000000041,600,200.74999999999932,,,,,,,,2.8631527511054364,1.1070857304261335,USDJPY,lagged,A00-07/obs16,False,7
2023-01-02,-1,95.10000000000218,600,367.14999999999804,,,,,,,,-20.903026126858137,-64.55685969565583,USDJPY,lagged,A00-07/obs16,False,7
2023-01-03,-1,72.59999999999991,600,354.44999999999993,,,,,,,,30.9173420269223,10.675666368207038,USDJPY,lagged,A00-07/obs16,False,7
