cong cu,N,k,ts,ALL,FORM,OOS,n,thang%,net,t,nam+
AUDCAD,48,2.0,3.0,0.698,0.66,0.778,148,64.9,14.23,2.19,5/7
AUDCAD,48,2.5,1.0,0.837,1.068,0.45,78,74.4,22.67,2.6,5/7
AUDCAD,48,2.5,2.0,1.028,1.351,0.5,78,75.6,26.78,3.27,6/7
AUDCAD,48,2.5,3.0,1.028,1.351,0.5,78,75.6,26.78,3.27,6/7
AUDCAD,96,1.5,1.0,0.605,0.151,1.449,140,72.9,15.68,1.85,5/7
AUDCAD,96,1.5,2.0,0.498,0.019,1.382,126,70.6,13.58,1.54,5/7
AUDCAD,96,1.5,3.0,0.498,0.019,1.382,126,70.6,13.58,1.54,5/7
AUDCAD,96,2.0,1.0,0.498,0.238,1.03,96,69.8,16.38,1.52,5/7
AUDCAD,96,2.0,2.0,0.427,0.143,1.031,89,67.4,14.06,1.3,5/7
AUDCAD,96,2.0,3.0,0.427,0.143,1.031,89,67.4,14.06,1.3,5/7
AUDCAD,96,2.5,1.0,0.98,1.128,0.724,57,77.2,44.44,3.18,6/7
AUDCAD,96,2.5,2.0,1.019,1.055,0.964,55,76.4,45.46,3.34,6/7
AUDCAD,96,2.5,3.0,1.019,1.055,0.964,55,76.4,45.46,3.34,6/7
AUDCAD,192,1.5,1.0,0.353,0.166,0.897,78,71.8,14.9,1.07,5/7
AUDCAD,192,1.5,2.0,0.228,0.179,0.366,72,70.8,11.25,0.69,5/7
AUDCAD,192,1.5,3.0,0.22,0.168,0.366,71,70.4,10.98,0.66,5/7
AUDCAD,192,2.0,1.0,0.607,0.525,0.893,57,71.9,29.32,1.88,6/7
AUDCAD,192,2.0,2.0,0.473,0.51,0.409,54,70.4,25.47,1.45,5/7
AUDCAD,192,2.0,3.0,0.473,0.51,0.409,54,70.4,25.47,1.45,5/7
GBPAUD,12,1.5,1.0,0.368,0.432,0.256,526,63.3,2.68,1.15,6/7
GBPAUD,12,1.5,2.0,0.289,0.393,0.092,481,63.4,2.32,0.9,6/7
GBPAUD,12,1.5,3.0,0.344,0.442,0.169,477,63.5,2.73,1.07,6/7
GBPAUD,12,2.0,1.0,0.559,0.542,0.622,176,63.6,6.36,1.72,7/7
GBPAUD,12,2.0,2.0,0.369,0.285,0.586,168,64.9,4.63,1.14,7/7
