session,t_entry,symbol,side,sweep_side,asia_rng_pips,asia_rng_rel,depth_pips,depth_frac,wick_body,close_pos,sweep_hour,dow,h1_bias,aligned,sl_pips,tp_pips,rr,cost_pips,cost_r,outcome,r_gross,r_net,minutes
2023-07-04,2023-07-05 11:30:00,USDJPY,1,-1,34.550000000001546,0.7153209109731108,9.949999999997772,0.28798842257589946,0.5870206489674226,0.8888888888890031,11,2,1,True,20.250000000001478,27.249999999997954,1.3456790123454798,1.528375533178089,0.07547533497175198,SL,-1.0,-1.075475334971752,105.0
2023-07-05,2023-07-06 07:30:00,USDJPY,1,-1,89.54999999999984,1.862714508580338,6.400000000002137,0.07146845337802511,0.6336633663368509,0.3634085213033542,7,3,-1,False,10.150000000001569,88.80000000000052,8.748768472905104,1.606586073329324,0.15828434219990895,TP,8.748768472905104,8.590484130705194,390.0
2023-07-09,2023-07-10 12:15:00,USDJPY,1,-1,88.54999999999791,1.639814814814714,4.750000000001364,0.05364201016376597,0.8636363636365045,0.8664122137403628,12,0,-1,False,14.54999999999984,81.74999999999955,5.618556701030958,1.5382495783855255,0.10572162050759741,SL,-1.0,-1.1057216205075975,60.0
2023-07-10,2023-07-11 13:30:00,USDJPY,1,-1,89.29999999999723,1.598925693822663,9.500000000002728,0.10638297872343812,0.7692307692311233,0.6631299734747843,13,1,-1,False,15.450000000001296,86.34999999999877,5.588996763753497,1.5118363123269851,0.09785348299850216,SL,-1.0,-1.0978534829985023,165.0
2023-07-12,2023-07-13 12:45:00,USDJPY,-1,1,76.15000000000123,1.2001576044129378,12.250000000000227,0.1608667104399216,0.3436185133240062,0.7225716282319796,12,3,-1,True,23.35000000000207,68.0499999999995,2.914346895074667,1.6125505600026027,0.06905998115642226,TP,2.914346895074667,2.845286913918245,75.0
2023-07-13,2023-07-14 07:30:00,USDJPY,-1,1,116.700000000003,1.8392434988180062,5.84999999999809,0.05012853470435252,0.959016393442199,0.4867924528302858,7,4,-1,True,9.849999999997294,115.70000000000391,11.746192893404638,1.5693646967343817,0.15932636515074242,SL,-1.0,-1.1593263651507424,135.0
2023-07-16,2023-07-17 08:45:00,USDJPY,1,-1,37.25000000000023,0.587076438140269,5.0499999999999545,0.13557046979865567,0.554945054945,0.32930513595158534,8,0,-1,False,8.349999999998658,36.95000000000164,4.425149700599709,1.6166209628267394,0.19360730093736517,SL,-1.0,-1.1936073009373651,45.0
2023-07-17,2023-07-18 07:30:00,USDJPY,1,-1,62.65000000000214,0.9873916469661445,7.699999999999818,0.1229050279329538,0.7096774193546866,0.9812734082397171,7,1,-1,False,16.150000000001796,57.20000000000027,3.541795665634298,1.5815648669898843,0.09792971312629774,SL,-1.0,-1.0979297131262977,15.0
2023-07-18,2023-07-19 12:15:00,USDJPY,-1,1,82.95000000000243,1.3203342618384613,13.050000000001205,0.15732368896926852,1.0920502092049722,0.24225352112678403,12,2,1,False,16.499999999999204,82.50000000000455,5.000000000000517,1.5906210370295524,0.09640127497149267,SL,-1.0,-1.0964012749714926,105.0
2023-07-19,2023-07-20 12:30:00,USDJPY,-1,1,59.199999999998454,0.9423000397930388,3.6000000000001364,0.06081081081081471,14.400000000013643,0.15714285714290355,12,3,1,False,11.949999999998795,53.84999999999991,4.506276150628062,1.6466393083890098,0.13779408438403146,SL,-1.0,-1.1377940843840315,0.0
2023-07-23,2023-07-24 07:15:00,USDJPY,1,-1,46.999999999999886,0.771440295445214,3.100000000000591,0.06595744680852338,12.399999999872671,0.8321342925660891,7,0,1,True,19.700000000000273,33.40000000000032,1.695431472081211,1.76063622627805,0.08937239727299622,SL,-1.0,-1.0893723972729963,0.0
2023-07-24,2023-07-25 11:30:00,USDJPY,-1,1,41.80000000000064,0.6860894542470322,11.499999999998067,0.27511961722482997,2.0535714285706583,0.34398034398032545,11,1,1,False,16.30000000000109,39.999999999997726,2.453987730061046,1.5512598932944939,0.0951693186070178,TP,2.453987730061046,2.358818411454028,75.0
2023-07-30,2023-07-31 15:00:00,USDJPY,-1,1,147.90000000000134,2.131123919308325,9.899999999998954,0.06693711967544871,0.7173913043478709,0.19694072657746653,14,0,1,False,24.199999999999022,136.6000000000014,5.644628099173839,1.7696932279118753,0.07312781933520442,SL,-1.0,-1.0731278193352045,225.0
2023-08-01,2023-08-02 09:30:00,USDJPY,1,-1,80.600000000004,1.0131992457574124,7.699999999999818,0.09553349875929822,0.46385542168674493,0.9387186629526767,9,2,1,True,19.550000000000978,71.75000000000296,3.670076726342679,1.651722246611522,0.08448707143792529,TP,3.670076726342679,3.5855896549047537,270.0
2023-08-03,2023-08-04 12:45:00,USDJPY,1,-1,56.85000000000002,0.7253588516746172,7.599999999999341,0.1336851363236471,0.28733459357275587,0.1677852348993448,12,4,-1,False,14.25000000000125,53.19999999999823,3.7333333333328813,1.7018532240720086,0.11942829642609538,SL,-1.0,-1.1194282964260953,0.0
2023-08-06,2023-08-07 07:15:00,USDJPY,-1,1,78.94999999999754,1.0600872776099086,4.9000000000035016,0.062064597846784725,98.00000000238742,0.09057971014523497,7,0,-1,True,15.600000000000591,71.25000000000057,4.567307692307556,1.5922100913311414,0.10206474944430007,SL,-1.0,-1.1020647494443,90.0
2023-08-08,2023-08-09 11:45:00,USDJPY,-1,1,39.84999999999843,0.5350788855320394,4.050000000000864,0.1016311166876041,20.24999999990763,0.22435897435884355,11,2,1,False,9.000000000000341,37.89999999999907,4.211111111110848,1.5740855534311662,0.1748983948256785,SL,-1.0,-1.1748983948256786,30.0
2023-08-09,2023-08-10 12:45:00,USDJPY,1,-1,41.80000000000064,0.6172019195275096,39.85000000000127,0.9533492822966667,1.2375776397515819,0.8661257606491,12,3,1,True,67.45000000000232,17.199999999999704,0.2550037064492085,1.619096482762351,0.024004395593214163,TP,0.2550037064492085,0.23099931085599434,15.0
2023-08-10,2023-08-11 08:30:00,USDJPY,1,-1,26.250000000001705,0.43085761181783466,6.899999999995998,0.2628571428569733,1.0952380952366774,0.8834355828223683,8,4,1,True,10.099999999997067,26.05000000000075,2.5792079207929026,1.5631989237605237,0.1547721706694037,SL,-1.0,-1.1547721706694036,180.0
2023-08-14,2023-08-15 07:45:00,USDJPY,-1,1,41.200000000000614,0.6991938905388396,10.799999999997567,0.26213592233003413,3.54098360655452,0.04119850187254595,7,1,1,False,15.749999999997044,39.25000000000125,2.492063492064039,1.5373190920918625,0.09760756140267625,TP,2.492063492064039,2.394455930661363,330.0
2023-08-16,2023-08-17 07:30:00,USDJPY,1,-1,27.949999999998454,0.4827288428324603,7.050000000000978,0.25223613595711514,1.9054054054053535,0.9853658536586042,7,3,1,True,13.049999999998363,24.950000000001182,1.9118773946363459,1.5344621235290818,0.11758330448500187,SL,-1.0,-1.1175833044850019,30.0
2023-08-21,2023-08-22 07:15:00,USDJPY,1,-1,55.5499999999995,0.963573287077212,3.4000000000020236,0.06120612061209819,0.5762711864410454,0.3253968253967878,7,1,1,True,7.200000000000273,54.750000000001364,7.604166666666568,1.5241571827987734,0.21168849761093272,SL,-1.0,-1.2116884976109328,0.0
2023-08-22,2023-08-23 07:45:00,USDJPY,1,-1,28.04999999999893,0.4865568083261028,11.199999999999477,0.3992869875222782,0.982456140351039,0.33482810164432314,7,2,-1,False,14.300000000000068,27.949999999998454,1.9545454545453371,1.6130221880420577,0.11279875440853497,SL,-1.0,-1.112798754408535,0.0
2023-08-24,2023-08-25 12:15:00,USDJPY,1,-1,34.650000000002024,0.607894736842148,3.7999999999982492,0.10966810966805274,0.5390070921982585,0.38661710037168356,12,4,1,True,8.3500000000015,33.099999999998886,3.964071856286579,1.552708243529768,0.18595308305742383,SL,-1.0,-1.1859530830574239,105.0
2023-08-27,2023-08-28 13:45:00,USDJPY,-1,1,31.400000000002137,0.5587188612100048,9.350000000000591,0.2977707006369412,1.4841269841273566,0.459154929577472,13,0,1,False,12.700000000003797,31.049999999999045,2.444881889762973,1.5733110587188017,0.12388276052900248,SL,-1.0,-1.1238827605290025,75.0
2023-08-29,2023-08-30 07:15:00,USDJPY,-1,1,49.799999999999045,1.1066666666666034,3.000000000002956,0.060240963855482194,2.5000000000023683,0.4253731343284342,7,2,1,False,6.700000000000728,49.10000000000139,7.328358208954635,1.556937370704808,0.2323787120454685,SL,-1.0,-1.2323787120454686,0.0
2023-08-30,2023-08-31 07:45:00,USDJPY,1,-1,37.20000000000141,0.8266666666666667,3.300000000001546,0.08870967741939303,0.43708609271524174,0.9682539682540027,7,3,-1,False,18.15000000000282,25.35000000000025,1.39669421487583,1.5060662595825804,0.08297885727726427,SL,-1.0,-1.0829788572772643,285.0
2023-08-31,2023-09-01 14:00:00,USDJPY,1,-1,46.25000000000057,1.1144578313252982,9.250000000000114,0.2,0.4262672811060264,0.7091503267973741,13,4,-1,False,24.550000000002115,33.94999999999868,1.3828920570263037,1.623002434615177,0.0661100788030565,TP,1.3828920570263037,1.3167819782232473,0.0
2023-09-03,2023-09-04 07:15:00,USDJPY,-1,1,20.84999999999866,0.502409638554177,11.600000000001387,0.5563549160672486,3.569230769231321,0.20903954802260885,7,0,1,False,17.05000000000325,18.399999999996908,1.0791788856301114,1.6644911914454743,0.09762411680030246,SL,-1.0,-1.0976241168003025,15.0
