symbol,rule,n_trades,gross_bps,t,hit_rate,cost_bps,net_bps,ratio,ann_net_pct,sharpe
NZDUSD,h09_usd+_me3,211,2.3311,2.75,0.4597,2.9048,-0.5737,0.8,-0.19,-0.27
NZDUSD,h09_usd-_me3,211,-2.3311,-2.75,0.327,2.9048,-5.2359,-0.8,-1.69,-2.42
NZDUSD,h10_usd+_me3,210,0.4215,0.46,0.4571,2.9048,-2.4832,0.15,-0.8,-1.05
NZDUSD,h10_usd-_me3,210,-0.4215,-0.46,0.3667,2.9048,-3.3263,-0.15,-1.07,-1.41
NZDUSD,h11_usd+_me3,206,0.3168,0.38,0.4272,2.9048,-2.588,0.11,-0.82,-1.21
NZDUSD,h11_usd-_me3,206,-0.3168,-0.38,0.335,2.9048,-3.2216,-0.11,-1.02,-1.5
NZDUSD,h12_usd+_me3,207,0.7086,0.8,0.4058,2.9048,-2.1961,0.24,-0.7,-0.97
NZDUSD,h12_usd-_me3,207,-0.7086,-0.8,0.372,2.9048,-3.6134,-0.24,-1.14,-1.59
NZDUSD,h13_usd+_me3,210,0.239,0.17,0.4476,2.9048,-2.6658,0.08,-0.86,-0.76
NZDUSD,h13_usd-_me3,210,-0.239,-0.17,0.3952,2.9048,-3.1438,-0.08,-1.01,-0.9
NZDUSD,h14_usd+_me3,211,-1.9496,-1.86,0.3697,2.9048,-4.8544,-0.67,-1.57,-1.81
NZDUSD,h14_usd-_me3,211,1.9496,1.86,0.4976,2.9048,-0.9552,0.67,-0.31,-0.36
NZDUSD,h15_usd+_me3,210,-1.1464,-0.71,0.3762,2.9048,-4.0512,-0.39,-1.3,-0.98
NZDUSD,h15_usd-_me3,210,1.1464,0.71,0.5048,2.9048,-1.7584,0.39,-0.56,-0.43
NZDUSD,h16_usd+_me3,208,-0.3429,-0.33,0.399,2.9048,-3.2477,-0.12,-1.03,-1.23
NZDUSD,h16_usd-_me3,208,0.3429,0.33,0.4038,2.9048,-2.5619,0.12,-0.82,-0.97
NZDUSD,h17_usd+_me3,205,0.1866,0.23,0.3756,2.9048,-2.7182,0.06,-0.85,-1.31
NZDUSD,h17_usd-_me3,205,-0.1866,-0.23,0.4195,2.9048,-3.0914,-0.06,-0.97,-1.49
NZDUSD,h18_usd+_me3,194,-0.2204,-0.25,0.366,2.9048,-3.1251,-0.08,-0.93,-1.39
NZDUSD,h18_usd-_me3,194,0.2204,0.25,0.3711,2.9048,-2.6844,0.08,-0.8,-1.2
NZDUSD,h19_usd+_me3,189,-1.2971,-1.28,0.3704,2.9048,-4.2019,-0.45,-1.21,-1.63
NZDUSD,h19_usd-_me3,189,1.2971,1.28,0.4286,2.9048,-1.6077,0.45,-0.46,-0.62
NZDUSD,h20_usd+_me3,176,-0.1994,-0.24,0.3295,2.9048,-3.1042,-0.07,-0.84,-1.46
NZDUSD,h20_usd-_me3,176,0.1994,0.24,0.375,2.9048,-2.7054,0.07,-0.73,-1.28
NZDUSD,h21_usd+_me3,93,0.2491,0.25,0.3011,2.9048,-2.6556,0.09,-0.38,-1.03
NZDUSD,h21_usd-_me3,93,-0.2491,-0.25,0.3226,2.9048,-3.1539,-0.09,-0.45,-1.22
NZDUSD,h22_usd+_me3,28,3.2559,1.64,0.5,2.9048,0.3512,1.12,0.02,0.07
NZDUSD,h22_usd-_me3,28,-3.2559,-1.64,0.2143,2.9048,-6.1607,-1.12,-0.26,-1.21
NZDUSD,h23_usd+_me3,96,1.6921,1.08,0.3958,2.9048,-1.2127,0.58,-0.18,-0.3
NZDUSD,h23_usd-_me3,96,-1.6921,-1.08,0.3542,2.9048,-4.5968,-0.58,-0.67,-1.15
NZDUSD,h00_usd+_me1,50,-0.5431,-0.35,0.4,2.9048,-3.4479,-0.19,-0.26,-0.88
NZDUSD,h00_usd-_me1,50,0.5431,0.35,0.32,2.9048,-2.3617,0.19,-0.18,-0.6
NZDUSD,h01_usd+_me1,68,-0.4661,-0.26,0.3824,2.9048,-3.3709,-0.16,-0.35,-0.73
NZDUSD,h01_usd-_me1,68,0.4661,0.26,0.4853,2.9048,-2.4387,0.16,-0.25,-0.53
NZDUSD,h02_usd+_me1,68,-0.7046,-0.38,0.3382,2.9048,-3.6094,-0.24,-0.38,-0.77
NZDUSD,h02_usd-_me1,68,0.7046,0.38,0.4265,2.9048,-2.2002,0.24,-0.23,-0.47
NZDUSD,h03_usd+_me1,68,0.4623,0.45,0.4559,2.9048,-2.4425,0.16,-0.25,-0.93
NZDUSD,h03_usd-_me1,68,-0.4623,-0.45,0.2647,2.9048,-3.3671,-0.16,-0.35,-1.28
NZDUSD,h04_usd+_me1,66,-0.1368,-0.12,0.303,2.9048,-3.0416,-0.05,-0.31,-1.04
NZDUSD,h04_usd-_me1,66,0.1368,0.12,0.4394,2.9048,-2.7679,0.05,-0.28,-0.95
NZDUSD,h05_usd+_me1,64,0.8194,0.64,0.375,2.9048,-2.0854,0.28,-0.2,-0.63
NZDUSD,h05_usd-_me1,64,-0.8194,-0.64,0.3906,2.9048,-3.7242,-0.28,-0.36,-1.13
NZDUSD,h06_usd+_me1,68,-1.2733,-1.04,0.3529,2.9048,-4.1781,-0.44,-0.43,-1.33
NZDUSD,h06_usd-_me1,68,1.2733,1.04,0.4118,2.9048,-1.6314,0.44,-0.17,-0.52
NZDUSD,h07_usd+_me1,69,-1.9205,-1.16,0.3333,2.9048,-4.8253,-0.66,-0.51,-1.14
NZDUSD,h07_usd-_me1,69,1.9205,1.16,0.4928,2.9048,-0.9843,0.66,-0.1,-0.23
NZDUSD,h08_usd+_me1,69,3.6961,2.02,0.4493,2.9048,0.7913,1.27,0.08,0.17
NZDUSD,h08_usd-_me1,69,-3.6961,-2.02,0.4058,2.9048,-6.6009,-1.27,-0.7,-1.41
NZDUSD,h09_usd+_me1,68,3.628,2.44,0.4706,2.9048,0.7232,1.25,0.08,0.19
NZDUSD,h09_usd-_me1,68,-3.628,-2.44,0.2794,2.9048,-6.5327,-1.25,-0.68,-1.72
NZDUSD,h10_usd+_me1,69,1.7751,1.09,0.4928,2.9048,-1.1297,0.61,-0.12,-0.27
NZDUSD,h10_usd-_me1,69,-1.7751,-1.09,0.3768,2.9048,-4.6799,-0.61,-0.49,-1.13
NZDUSD,h11_usd+_me1,67,-0.5524,-0.38,0.3582,2.9048,-3.4572,-0.19,-0.35,-0.93
NZDUSD,h11_usd-_me1,67,0.5524,0.38,0.3731,2.9048,-2.3524,0.19,-0.24,-0.63
NZDUSD,h12_usd+_me1,68,0.7168,0.47,0.3971,2.9048,-2.188,0.25,-0.23,-0.56
NZDUSD,h12_usd-_me1,68,-0.7168,-0.47,0.3529,2.9048,-3.6216,-0.25,-0.38,-0.93
NZDUSD,h13_usd+_me1,68,-0.9805,-0.43,0.4118,2.9048,-3.8853,-0.34,-0.4,-0.67
NZDUSD,h13_usd-_me1,68,0.9805,0.43,0.3971,2.9048,-1.9243,0.34,-0.2,-0.33
NZDUSD,h14_usd+_me1,69,-4.5124,-2.46,0.3333,2.9048,-7.4172,-1.55,-0.78,-1.58
NZDUSD,h14_usd-_me1,69,4.5124,2.46,0.5652,2.9048,1.6076,1.55,0.17,0.34
