tf,họ,công cụ,N,k,ts,ALL,FORM,OOS,n,thắng%,net,t,năm+
H1,gap_fade,EURCHF,14,0.3,24,-0.104,-0.082,-0.136,380,52.4,-0.58,-0.32,4/7
H1,gap_fade,EURCHF,14,0.3,96,-0.37,-0.405,-0.316,289,54.7,-4.46,-1.14,2/7
H1,gap_fade,EURCHF,14,0.5,24,-0.006,-0.028,0.018,127,52.0,-0.06,-0.02,3/7
H1,gap_fade,EURCHF,14,0.5,96,-0.363,-0.378,-0.35,111,50.5,-7.94,-1.11,2/7
H1,gap_fade,EURCHF,24,0.3,24,-0.235,-0.102,-0.423,376,51.3,-1.32,-0.72,4/7
H1,gap_fade,EURCHF,24,0.3,96,-0.428,-0.504,-0.307,285,54.4,-5.25,-1.31,2/7
H1,gap_fade,EURCHF,24,0.5,24,-0.144,-0.056,-0.256,128,50.0,-1.33,-0.44,3/7
H1,gap_fade,EURCHF,24,0.5,96,-0.476,-0.295,-0.701,112,49.1,-11.15,-1.47,2/7
H1,gap_fade,EURCHF,48,0.3,24,-0.374,-0.29,-0.497,377,49.9,-2.11,-1.14,3/7
H1,gap_fade,EURCHF,48,0.3,96,-0.441,-0.487,-0.367,289,54.3,-5.35,-1.35,2/7
H1,gap_fade,EURCHF,48,0.5,24,-0.206,-0.232,-0.177,122,49.2,-1.96,-0.63,3/7
H1,gap_fade,EURCHF,48,0.5,96,-0.438,-0.31,-0.603,108,50.9,-10.18,-1.35,1/7
H1,gap_fade,GBPCHF,14,0.3,24,-0.474,-0.242,-0.896,506,50.0,-3.31,-1.46,1/7
H1,gap_fade,GBPCHF,14,0.3,96,-0.126,0.13,-0.617,380,51.6,-1.58,-0.39,4/7
H1,gap_fade,GBPCHF,14,0.5,24,-0.097,0.004,-0.279,208,52.9,-1.07,-0.3,2/7
H1,gap_fade,GBPCHF,14,0.5,96,-0.178,0.069,-0.568,166,52.4,-4.34,-0.55,2/7
H1,gap_fade,GBPCHF,14,0.8,24,-0.003,-0.424,0.519,57,49.1,-0.05,-0.01,3/7
H1,gap_fade,GBPCHF,14,0.8,96,-0.014,0.221,-0.359,53,47.2,-0.49,-0.04,4/7
H1,gap_fade,GBPCHF,24,0.3,24,-0.487,-0.299,-0.852,494,49.8,-3.45,-1.48,1/7
H1,gap_fade,GBPCHF,24,0.3,96,-0.293,0.048,-0.944,374,51.6,-3.74,-0.9,3/7
H1,gap_fade,GBPCHF,24,0.5,24,0.166,0.153,0.191,206,55.3,1.86,0.51,5/7
H1,gap_fade,GBPCHF,24,0.5,96,-0.284,-0.066,-0.642,169,50.3,-6.44,-0.87,2/7
H1,gap_fade,GBPCHF,24,0.8,24,0.163,-0.165,0.57,59,52.5,2.89,0.5,4/7
H1,gap_fade,GBPCHF,24,0.8,96,-0.076,0.106,-0.348,55,47.3,-2.64,-0.23,3/7
H1,gap_fade,GBPCHF,48,0.3,24,-0.481,-0.113,-1.22,479,48.6,-3.46,-1.47,1/7
H1,gap_fade,GBPCHF,48,0.3,96,-0.173,0.2,-0.891,366,51.1,-2.24,-0.53,2/7
H1,gap_fade,GBPCHF,48,0.5,24,0.037,0.139,-0.118,202,54.5,0.46,0.11,4/7
H1,gap_fade,GBPCHF,48,0.5,96,-0.343,-0.158,-0.628,164,51.2,-7.7,-1.06,2/7
H1,gap_fade,GBPCHF,48,0.8,24,0.183,0.005,0.402,61,52.5,3.48,0.56,4/7
H1,gap_fade,GBPCHF,48,0.8,96,-0.165,0.051,-0.457,57,47.4,-5.98,-0.5,3/7
H1,gap_fade,EURCAD,14,0.3,24,-0.384,-0.469,-0.221,600,52.2,-1.96,-1.17,2/7
H1,gap_fade,EURCAD,14,0.3,96,-0.15,-0.598,0.697,464,52.8,-1.32,-0.46,3/7
H1,gap_fade,EURCAD,14,0.5,24,-0.038,-0.091,0.06,242,56.6,-0.33,-0.11,3/7
H1,gap_fade,EURCAD,14,0.5,96,-0.186,-0.477,0.381,203,53.2,-3.35,-0.57,3/7
H1,gap_fade,EURCAD,14,0.8,24,-0.107,-0.094,-0.127,70,50.0,-1.87,-0.31,3/7
H1,gap_fade,EURCAD,14,0.8,96,0.257,0.237,0.289,67,62.7,7.95,0.77,4/7
H1,gap_fade,EURCAD,24,0.3,24,-0.418,-0.372,-0.511,600,51.7,-2.17,-1.28,3/7
H1,gap_fade,EURCAD,24,0.3,96,-0.334,-0.532,0.006,465,52.3,-2.93,-1.02,2/7
H1,gap_fade,EURCAD,24,0.5,24,0.212,0.173,0.284,244,58.6,1.87,0.64,5/7
H1,gap_fade,EURCAD,24,0.5,96,-0.171,-0.465,0.418,204,53.9,-3.1,-0.52,3/7
H1,gap_fade,EURCAD,24,0.8,24,0.13,0.076,0.19,69,53.6,2.44,0.39,3/7
H1,gap_fade,EURCAD,24,0.8,96,0.468,0.41,0.572,66,65.2,15.78,1.43,5/7
H1,gap_fade,EURCAD,48,0.3,24,-0.283,-0.237,-0.377,588,52.6,-1.51,-0.86,3/7
H1,gap_fade,EURCAD,48,0.3,96,-0.348,-0.59,0.08,458,52.2,-3.1,-1.06,2/7
H1,gap_fade,EURCAD,48,0.5,24,0.174,0.149,0.217,243,58.4,1.52,0.52,6/7
H1,gap_fade,EURCAD,48,0.5,96,-0.05,-0.287,0.415,206,55.3,-0.9,-0.15,3/7
H1,gap_fade,EURCAD,48,0.8,24,0.221,0.059,0.397,70,54.3,3.96,0.66,4/7
H1,gap_fade,EURCAD,48,0.8,96,0.492,0.269,0.895,67,65.7,14.98,1.5,4/7
H1,gap_fade,GBPCAD,14,0.3,24,-0.039,-0.014,-0.085,589,53.5,-0.22,-0.12,3/7
H1,gap_fade,GBPCAD,14,0.3,96,-0.366,-0.446,-0.211,464,50.6,-3.73,-1.12,3/7
H1,gap_fade,GBPCAD,14,0.5,24,-0.099,-0.206,0.072,224,51.3,-0.96,-0.3,4/7
H1,gap_fade,GBPCAD,14,0.5,96,-0.175,-0.309,0.019,185,48.6,-2.83,-0.53,3/7
H1,gap_fade,GBPCAD,14,0.8,24,0.333,0.5,0.192,70,48.6,6.4,1.02,4/7
H1,gap_fade,GBPCAD,14,0.8,96,0.31,0.395,0.195,62,53.2,8.68,0.94,4/7
H1,gap_fade,GBPCAD,24,0.3,24,0.038,0.074,-0.027,576,54.0,0.21,0.11,4/7
H1,gap_fade,GBPCAD,24,0.3,96,-0.159,-0.256,0.031,455,50.5,-1.64,-0.49,3/7
H1,gap_fade,GBPCAD,24,0.5,24,-0.203,-0.321,-0.011,215,51.2,-2.03,-0.61,4/7
H1,gap_fade,GBPCAD,24,0.5,96,-0.246,-0.44,0.042,181,48.6,-4.15,-0.75,1/7
H1,gap_fade,GBPCAD,24,0.8,24,0.292,0.408,0.197,77,45.5,5.12,0.9,4/7
H1,gap_fade,GBPCAD,24,0.8,96,0.351,0.27,0.468,68,54.4,9.2,1.07,4/7
H1,gap_fade,GBPCAD,48,0.3,24,0.086,0.131,0.008,568,53.9,0.49,0.26,4/7
H1,gap_fade,GBPCAD,48,0.3,96,-0.053,-0.22,0.258,445,51.0,-0.56,-0.16,4/7
H1,gap_fade,GBPCAD,48,0.5,24,-0.376,-0.368,-0.389,217,49.8,-3.81,-1.14,2/7
H1,gap_fade,GBPCAD,48,0.5,96,-0.378,-0.59,-0.022,182,47.8,-6.79,-1.15,2/7
H1,gap_fade,GBPCAD,48,0.8,24,0.292,0.361,0.242,73,46.6,5.48,0.9,4/7
H1,gap_fade,GBPCAD,48,0.8,96,0.445,0.298,0.666,64,56.2,12.34,1.37,5/7
H1,gap_fade,AUDCAD,14,0.3,24,0.2,0.225,0.158,712,49.3,1.22,0.61,4/7
H1,gap_fade,AUDCAD,14,0.3,96,-0.032,-0.263,0.359,538,49.6,-0.29,-0.1,3/7
H1,gap_fade,AUDCAD,14,0.5,24,0.107,0.016,0.238,317,47.9,0.94,0.33,3/7
H1,gap_fade,AUDCAD,14,0.5,96,0.167,0.3,-0.024,252,51.6,2.72,0.51,4/7
H1,gap_fade,AUDCAD,14,0.8,24,-0.062,-0.119,0.029,107,44.9,-1.08,-0.19,3/7
H1,gap_fade,AUDCAD,14,0.8,96,0.265,0.46,0.015,95,55.8,8.43,0.81,4/7
H1,gap_fade,AUDCAD,24,0.3,24,0.268,0.234,0.326,706,49.6,1.62,0.82,3/7
H1,gap_fade,AUDCAD,24,0.3,96,0.076,-0.147,0.452,532,49.2,0.69,0.23,3/7
H1,gap_fade,AUDCAD,24,0.5,24,-0.051,-0.15,0.096,316,47.2,-0.45,-0.16,3/7
