tf,họ,công cụ,N,k,ts,ALL,FORM,OOS,n,thắng%,net,t,năm+
M30,close_loc,USDCHF,20,0.62,48,-0.303,0.208,-1.105,751,49.1,-1.84,-0.93,2/7
M30,close_loc,USDCHF,20,0.62,192,-0.048,0.332,-0.606,516,54.8,-0.54,-0.15,3/7
M30,close_loc,USDCHF,20,0.68,48,-0.595,-0.85,-0.115,107,43.0,-9.36,-1.84,1/7
M30,close_loc,USDCHF,20,0.68,192,-0.603,-0.598,-0.616,99,42.4,-19.56,-1.87,0/7
M30,close_loc,USDCHF,40,0.62,48,-0.091,-0.034,-0.185,97,44.3,-1.5,-0.28,4/7
M30,close_loc,USDCHF,40,0.62,192,0.175,0.107,0.29,88,53.4,5.5,0.53,4/7
M30,accel,EURGBP,12,1.5,48,-0.654,-0.67,-0.687,2126,52.9,-1.56,-2.1,0/7
M30,accel,EURGBP,12,1.5,192,-0.575,-0.649,-0.439,1909,53.9,-1.58,-1.83,1/7
M30,accel,EURGBP,12,2.0,48,-0.757,-0.914,-0.407,1251,51.2,-2.71,-2.44,1/7
M30,accel,EURGBP,12,2.0,192,-0.788,-0.961,-0.4,949,50.9,-4.23,-2.52,2/7
M30,accel,EURGBP,12,2.5,48,-0.058,-0.172,0.233,590,53.7,-0.31,-0.18,3/7
M30,accel,EURGBP,12,2.5,192,-0.248,-0.091,-0.724,431,54.1,-2.58,-0.77,2/7
M30,accel,EURGBP,24,1.5,48,-0.196,-0.089,-0.55,1338,54.5,-0.66,-0.61,2/7
M30,accel,EURGBP,24,1.5,192,-0.017,0.154,-0.512,1119,54.7,-0.07,-0.05,3/7
M30,accel,EURGBP,24,2.0,48,0.045,0.011,0.138,781,55.2,0.21,0.14,4/7
M30,accel,EURGBP,24,2.0,192,-0.181,-0.117,-0.359,599,53.6,-1.47,-0.56,2/7
M30,accel,EURGBP,24,2.5,48,-0.337,-0.435,-0.114,356,53.1,-2.23,-1.04,2/7
M30,accel,EURGBP,24,2.5,192,-0.219,-0.108,-0.486,300,53.0,-2.74,-0.69,2/7
M30,accel,EURGBP,48,1.5,48,0.341,0.398,0.228,768,50.7,1.6,1.06,5/7
M30,accel,EURGBP,48,1.5,192,-0.241,-0.388,0.105,617,56.4,-1.76,-0.74,3/7
M30,accel,EURGBP,48,2.0,48,0.254,0.451,-0.224,473,49.3,1.6,0.78,3/7
M30,accel,EURGBP,48,2.0,192,0.029,0.162,-0.301,408,53.4,0.29,0.09,4/7
M30,accel,EURGBP,48,2.5,48,0.292,0.496,-0.155,249,51.0,2.53,0.9,5/7
M30,accel,EURGBP,48,2.5,192,0.077,0.163,-0.147,229,55.5,1.11,0.24,5/7
M30,accel,EURGBP,96,1.5,48,0.002,0.077,-0.205,594,49.7,0.01,0.01,4/7
M30,accel,EURGBP,96,1.5,192,-0.258,-0.219,-0.425,358,52.8,-3.34,-0.84,3/7
M30,accel,EURGBP,96,2.0,48,-0.026,0.043,-0.208,313,51.8,-0.23,-0.08,3/7
M30,accel,EURGBP,96,2.0,192,-0.278,-0.312,-0.215,223,51.6,-4.36,-0.85,2/7
M30,accel,EURGBP,96,2.5,48,-0.046,0.156,-0.483,139,43.9,-0.61,-0.14,1/7
M30,accel,EURGBP,96,2.5,192,-0.159,0.002,-0.577,118,49.2,-3.58,-0.48,3/7
M30,accel,EURAUD,12,1.5,48,-0.468,-0.651,-0.098,2227,54.6,-1.36,-1.44,1/7
M30,accel,EURAUD,12,1.5,192,-0.384,-0.57,-0.003,2041,54.7,-1.23,-1.17,1/7
M30,accel,EURAUD,12,2.0,48,-0.746,-1.04,-0.159,1239,50.4,-3.48,-2.29,3/7
M30,accel,EURAUD,12,2.0,192,-0.869,-1.03,-0.552,961,51.9,-6.13,-2.64,2/7
M30,accel,EURAUD,12,2.5,48,0.079,-0.04,0.379,516,53.7,0.65,0.24,3/7
M30,accel,EURAUD,12,2.5,192,-0.383,-0.282,-0.566,379,53.8,-6.21,-1.18,1/7
M30,accel,EURAUD,24,1.5,48,-0.718,-0.977,-0.2,1334,52.4,-3.29,-2.25,1/7
M30,accel,EURAUD,24,1.5,192,-0.475,-0.849,0.34,1124,55.5,-2.81,-1.47,2/7
M30,accel,EURAUD,24,2.0,48,-0.624,-0.872,-0.117,785,50.6,-3.8,-1.93,1/7
M30,accel,EURAUD,24,2.0,192,-0.242,-0.407,0.095,631,54.0,-2.51,-0.76,2/7
M30,accel,EURAUD,24,2.5,48,-0.195,-0.409,0.272,383,53.3,-1.86,-0.61,2/7
M30,accel,EURAUD,24,2.5,192,-0.153,0.077,-0.579,329,51.1,-2.65,-0.47,3/7
M30,accel,EURAUD,48,1.5,48,-0.059,0.012,-0.216,777,49.9,-0.37,-0.18,2/7
M30,accel,EURAUD,48,1.5,192,-0.194,-0.066,-0.463,632,53.8,-1.89,-0.59,2/7
M30,accel,EURAUD,48,2.0,48,0.131,0.062,0.282,472,48.9,1.16,0.41,3/7
M30,accel,EURAUD,48,2.0,192,-0.258,-0.236,-0.311,398,51.8,-3.75,-0.79,1/7
M30,accel,EURAUD,48,2.5,48,0.146,0.238,-0.032,247,49.4,1.74,0.45,3/7
M30,accel,EURAUD,48,2.5,192,0.148,0.385,-0.296,227,52.0,3.24,0.45,4/7
M30,accel,EURAUD,96,1.5,48,0.17,0.344,-0.278,590,49.8,1.78,0.59,5/7
M30,accel,EURAUD,96,1.5,192,0.088,0.193,-0.186,361,52.1,1.67,0.3,4/7
M30,accel,EURAUD,96,2.0,48,-0.056,0.214,-0.557,315,50.5,-0.69,-0.17,1/7
M30,accel,EURAUD,96,2.0,192,-0.171,-0.007,-0.554,229,49.3,-3.86,-0.52,4/7
M30,accel,EURAUD,96,2.5,48,-0.181,-0.192,-0.17,151,50.3,-2.96,-0.55,3/7
M30,accel,EURAUD,96,2.5,192,-0.252,-0.135,-0.481,123,46.3,-9.18,-0.77,2/7
M30,accel,EURNZD,12,1.5,48,-0.686,-0.987,-0.049,2170,53.0,-1.95,-2.11,2/7
M30,accel,EURNZD,12,1.5,192,-0.526,-0.85,0.165,1980,53.1,-1.66,-1.62,2/7
M30,accel,EURNZD,12,2.0,48,-0.576,-1.034,0.4,1226,52.3,-2.54,-1.79,3/7
M30,accel,EURNZD,12,2.0,192,-0.224,-0.478,0.321,926,53.9,-1.49,-0.69,2/7
M30,accel,EURNZD,12,2.5,48,-0.213,-0.36,0.126,547,52.8,-1.63,-0.66,2/7
M30,accel,EURNZD,12,2.5,192,-0.207,-0.327,0.012,403,52.9,-3.03,-0.64,3/7
M30,accel,EURNZD,24,1.5,48,-0.897,-1.277,-0.153,1324,50.2,-3.57,-2.74,1/7
M30,accel,EURNZD,24,1.5,192,-0.511,-1.017,0.481,1111,54.0,-2.84,-1.58,2/7
M30,accel,EURNZD,24,2.0,48,-0.225,-0.369,0.09,787,53.0,-1.37,-0.72,1/7
M30,accel,EURNZD,24,2.0,192,-0.236,-0.483,0.221,619,54.1,-2.41,-0.74,2/7
M30,accel,EURNZD,24,2.5,48,-0.295,-0.546,0.334,396,46.5,-2.51,-0.91,3/7
M30,accel,EURNZD,24,2.5,192,-0.186,-0.094,-0.39,326,51.2,-3.11,-0.57,3/7
M30,accel,EURNZD,48,1.5,48,0.638,0.767,0.381,789,53.2,4.01,1.97,6/7
M30,accel,EURNZD,48,1.5,192,0.314,0.194,0.566,657,56.2,2.91,0.97,4/7
M30,accel,EURNZD,48,2.0,48,0.523,0.5,0.567,473,51.6,4.35,1.61,6/7
M30,accel,EURNZD,48,2.0,192,0.192,0.134,0.312,406,56.4,2.66,0.59,5/7
M30,accel,EURNZD,48,2.5,48,0.242,0.55,-0.392,213,51.6,3.23,0.74,5/7
M30,accel,EURNZD,48,2.5,192,0.022,0.295,-0.525,198,54.5,0.45,0.07,3/7
M30,accel,EURNZD,96,1.5,48,0.079,0.263,-0.268,601,50.4,0.58,0.24,4/7
M30,accel,EURNZD,96,1.5,192,0.148,0.452,-0.447,377,57.8,2.04,0.45,4/7
M30,accel,EURNZD,96,2.0,48,0.221,0.321,0.03,316,50.3,2.38,0.67,5/7
M30,accel,EURNZD,96,2.0,192,0.266,0.655,-0.546,246,51.6,5.17,0.81,5/7
M30,accel,EURNZD,96,2.5,48,0.108,0.242,-0.205,151,49.0,1.95,0.33,3/7
M30,accel,EURNZD,96,2.5,192,-0.088,0.378,-0.986,131,52.7,-2.49,-0.27,4/7
M30,accel,GBPAUD,12,1.5,48,-0.863,-0.78,-1.067,2151,53.5,-2.53,-2.71,1/7
M30,accel,GBPAUD,12,1.5,192,-0.942,-0.826,-1.234,1924,52.6,-3.19,-2.97,1/7
M30,accel,GBPAUD,12,2.0,48,-0.257,-0.437,0.115,1278,52.8,-1.06,-0.8,2/7
M30,accel,GBPAUD,12,2.0,192,-0.45,-0.948,0.538,995,53.2,-2.81,-1.37,3/7
M30,accel,GBPAUD,12,2.5,48,-0.029,-0.095,0.118,564,52.0,-0.21,-0.09,4/7
M30,accel,GBPAUD,12,2.5,192,-0.828,-0.861,-0.773,420,48.8,-10.7,-2.56,2/7
M30,accel,GBPAUD,24,1.5,48,-1.165,-1.102,-1.312,1314,51.1,-4.69,-3.57,1/7
M30,accel,GBPAUD,24,1.5,192,-1.025,-1.055,-0.98,1101,51.8,-5.43,-3.12,1/7
M30,accel,GBPAUD,24,2.0,48,-0.476,-0.612,-0.224,784,50.1,-2.7,-1.46,2/7
M30,accel,GBPAUD,24,2.0,192,-0.058,-0.317,0.434,625,53.0,-0.53,-0.18,4/7
M30,accel,GBPAUD,24,2.5,48,0.126,0.022,0.441,375,52.5,1.26,0.41,3/7
M30,accel,GBPAUD,24,2.5,192,-0.006,0.156,-0.324,309,52.1,-0.1,-0.02,2/7
M30,accel,GBPAUD,48,1.5,48,0.669,0.59,0.865,777,53.4,4.39,2.12,5/7
M30,accel,GBPAUD,48,1.5,192,0.342,0.156,0.724,641,57.6,3.21,1.07,5/7
M30,accel,GBPAUD,48,2.0,48,0.563,0.65,0.389,468,52.6,4.94,1.8,4/7
M30,accel,GBPAUD,48,2.0,192,0.198,0.389,-0.249,411,55.2,2.7,0.62,3/7
M30,accel,GBPAUD,48,2.5,48,0.238,0.064,0.597,211,50.7,3.0,0.73,5/7
M30,accel,GBPAUD,48,2.5,192,0.016,-0.283,0.584,195,57.4,0.35,0.05,5/7
M30,accel,GBPAUD,96,1.5,48,-0.055,-0.005,-0.151,596,48.5,-0.4,-0.17,4/7
M30,accel,GBPAUD,96,1.5,192,-0.192,-0.14,-0.305,369,55.6,-2.67,-0.59,4/7
M30,accel,GBPAUD,96,2.0,48,0.207,0.334,-0.042,293,50.5,2.48,0.63,3/7
M30,accel,GBPAUD,96,2.0,192,0.009,0.098,-0.183,231,52.4,0.17,0.03,3/7
M30,accel,GBPAUD,96,2.5,48,0.176,0.218,0.096,130,48.5,3.42,0.54,5/7
M30,accel,GBPAUD,96,2.5,192,-0.21,-0.482,0.357,113,47.8,-6.7,-0.64,3/7
M30,accel,GBPNZD,12,1.5,48,-0.86,-0.869,-0.884,2145,51.7,-2.54,-2.73,2/7
M30,accel,GBPNZD,12,1.5,192,-0.85,-0.886,-0.804,1938,51.8,-2.8,-2.68,2/7
M30,accel,GBPNZD,12,2.0,48,-0.449,-0.836,0.376,1220,51.0,-2.01,-1.42,2/7
M30,accel,GBPNZD,12,2.0,192,-0.418,-0.789,0.373,937,51.9,-2.71,-1.32,2/7
M30,accel,GBPNZD,12,2.5,48,-0.116,-0.291,0.32,557,51.0,-0.86,-0.37,4/7
M30,accel,GBPNZD,12,2.5,192,-0.192,-0.264,-0.051,423,53.4,-2.44,-0.6,3/7
M30,accel,GBPNZD,24,1.5,48,-1.267,-1.409,-1.006,1302,49.8,-5.2,-3.92,1/7
M30,accel,GBPNZD,24,1.5,192,-1.129,-1.312,-0.801,1103,50.9,-5.92,-3.47,1/7
M30,accel,GBPNZD,24,2.0,48,-0.225,-0.186,-0.325,784,51.4,-1.36,-0.7,1/7
M30,accel,GBPNZD,24,2.0,192,-0.31,-0.239,-0.468,616,52.6,-3.0,-0.98,3/7
M30,accel,GBPNZD,24,2.5,48,0.239,0.264,0.197,375,49.9,2.35,0.78,5/7
M30,accel,GBPNZD,24,2.5,192,0.729,0.948,0.315,318,57.2,11.8,2.33,6/7
M30,accel,GBPNZD,48,1.5,48,0.739,1.109,-0.019,790,53.3,4.59,2.37,4/7
M30,accel,GBPNZD,48,1.5,192,0.196,0.375,-0.188,655,54.2,1.8,0.62,4/7
M30,accel,GBPNZD,48,2.0,48,0.468,0.9,-0.467,464,47.4,3.68,1.44,5/7
M30,accel,GBPNZD,48,2.0,192,0.274,0.585,-0.373,416,55.0,3.47,0.85,5/7
M30,accel,GBPNZD,48,2.5,48,0.904,1.266,0.109,221,55.7,12.15,2.8,6/7
M30,accel,GBPNZD,48,2.5,192,0.592,0.999,-0.264,210,62.4,12.5,1.83,5/7
M30,accel,GBPNZD,96,1.5,48,0.077,0.251,-0.288,614,51.0,0.52,0.24,4/7
M30,accel,GBPNZD,96,1.5,192,-0.123,0.123,-0.634,386,55.4,-1.7,-0.39,3/7
M30,accel,GBPNZD,96,2.0,48,0.136,-0.004,0.409,322,51.6,1.3,0.41,4/7
M30,accel,GBPNZD,96,2.0,192,0.16,0.338,-0.184,251,56.2,2.72,0.49,4/7
M30,accel,GBPNZD,96,2.5,48,0.581,0.616,0.539,143,58.7,11.06,1.78,4/7
M30,accel,GBPNZD,96,2.5,192,0.097,0.266,-0.223,125,56.8,2.86,0.29,3/7
M30,accel,AUDNZD,12,1.5,48,-0.415,-0.208,-0.828,2220,53.0,-0.71,-1.28,2/7
M30,accel,AUDNZD,12,1.5,192,-0.296,-0.11,-0.666,2021,53.6,-0.57,-0.91,2/7
M30,accel,AUDNZD,12,2.0,48,0.153,0.01,0.429,1269,54.1,0.41,0.48,6/7
M30,accel,AUDNZD,12,2.0,192,0.018,-0.068,0.19,965,55.4,0.08,0.06,5/7
M30,accel,AUDNZD,12,2.5,48,-0.21,-0.576,0.542,526,49.4,-0.99,-0.65,2/7
M30,accel,AUDNZD,12,2.5,192,-0.296,-0.708,0.503,404,53.5,-2.64,-0.91,3/7
M30,accel,AUDNZD,24,1.5,48,-0.229,-0.426,0.163,1344,53.2,-0.6,-0.71,4/7
M30,accel,AUDNZD,24,1.5,192,-0.227,-0.337,-0.009,1119,54.6,-0.79,-0.7,4/7
M30,accel,AUDNZD,24,2.0,48,-0.24,-0.489,0.225,784,52.0,-0.88,-0.75,2/7
M30,accel,AUDNZD,24,2.0,192,-0.382,-0.499,-0.166,615,53.8,-2.32,-1.17,2/7
M30,accel,AUDNZD,24,2.5,48,-0.129,-0.666,0.889,388,52.6,-0.7,-0.4,2/7
M30,accel,AUDNZD,24,2.5,192,0.409,-0.058,1.371,332,59.6,4.0,1.26,5/7
M30,accel,AUDNZD,48,1.5,48,0.066,-0.022,0.244,826,51.5,0.23,0.2,3/7
M30,accel,AUDNZD,48,1.5,192,0.026,-0.078,0.234,668,56.7,0.15,0.08,2/7
M30,accel,AUDNZD,48,2.0,48,0.047,-0.549,1.069,451,49.7,0.24,0.14,3/7
M30,accel,AUDNZD,48,2.0,192,-0.419,-1.106,0.988,394,54.6,-3.58,-1.28,2/7
M30,accel,AUDNZD,48,2.5,48,-0.134,-0.447,0.506,213,47.4,-0.99,-0.41,4/7
M30,accel,AUDNZD,48,2.5,192,-0.176,-0.79,0.991,197,50.3,-2.36,-0.54,3/7
M30,accel,AUDNZD,96,1.5,48,-0.468,-0.617,-0.194,597,49.6,-2.01,-1.43,2/7
M30,accel,AUDNZD,96,1.5,192,-0.467,-0.716,0.058,369,49.6,-4.29,-1.43,2/7
M30,accel,AUDNZD,96,2.0,48,-0.28,-0.619,0.248,301,48.5,-1.71,-0.85,2/7
M30,accel,AUDNZD,96,2.0,192,-0.955,-1.288,-0.245,218,41.7,-12.28,-2.95,1/7
M30,accel,AUDNZD,96,2.5,48,-0.289,-0.808,0.483,129,43.4,-2.97,-0.88,2/7
M30,accel,AUDNZD,96,2.5,192,-0.754,-1.203,0.207,110,43.6,-15.34,-2.33,3/7
M30,accel,EURCHF,12,1.5,48,0.108,0.368,-0.304,2190,55.3,0.2,0.34,4/7
M30,accel,EURCHF,12,1.5,192,0.04,0.156,-0.156,1992,55.3,0.08,0.12,4/7
M30,accel,EURCHF,12,2.0,48,0.262,0.482,-0.102,1271,54.1,0.72,0.81,5/7
M30,accel,EURCHF,12,2.0,192,0.088,0.369,-0.375,979,53.2,0.36,0.27,4/7
M30,accel,EURCHF,12,2.5,48,0.052,0.299,-0.315,600,55.0,0.23,0.16,3/7
M30,accel,EURCHF,12,2.5,192,-0.045,0.438,-0.841,445,51.7,-0.38,-0.14,3/7
M30,accel,EURCHF,24,1.5,48,-0.353,0.056,-1.119,1355,53.7,-0.99,-1.1,2/7
M30,accel,EURCHF,24,1.5,192,-0.375,0.043,-1.118,1135,55.5,-1.34,-1.15,3/7
M30,accel,EURCHF,24,2.0,48,-0.328,-0.243,-0.48,800,51.9,-1.3,-1.02,2/7
M30,accel,EURCHF,24,2.0,192,-0.282,-0.148,-0.503,642,55.6,-1.71,-0.87,2/7
M30,accel,EURCHF,24,2.5,48,-0.049,-0.21,0.182,391,49.9,-0.28,-0.15,2/7
M30,accel,EURCHF,24,2.5,192,0.22,0.265,0.151,330,54.2,2.29,0.69,3/7
M30,accel,EURCHF,48,1.5,48,-0.189,-0.633,0.514,804,50.4,-0.79,-0.59,3/7
M30,accel,EURCHF,48,1.5,192,0.302,-0.501,1.656,663,55.2,1.83,0.94,4/7
M30,accel,EURCHF,48,2.0,48,-0.028,-0.785,1.164,480,51.2,-0.15,-0.09,4/7
M30,accel,EURCHF,48,2.0,192,0.067,-0.68,1.354,413,56.4,0.58,0.21,4/7
M30,accel,EURCHF,48,2.5,48,0.233,-0.308,1.027,256,50.8,1.64,0.71,5/7
M30,accel,EURCHF,48,2.5,192,-0.144,-0.329,0.16,232,51.7,-1.71,-0.44,3/7
M30,accel,EURCHF,96,1.5,48,0.478,0.176,0.966,624,54.6,2.34,1.47,4/7
M30,accel,EURCHF,96,1.5,192,0.008,-0.045,0.092,388,54.4,0.08,0.03,4/7
M30,accel,EURCHF,96,2.0,48,0.014,-0.01,0.046,324,50.0,0.1,0.04,3/7
M30,accel,EURCHF,96,2.0,192,-0.544,-0.57,-0.508,235,46.8,-6.86,-1.67,2/7
M30,accel,EURCHF,96,2.5,48,-0.381,-0.429,-0.312,159,51.6,-4.01,-1.16,2/7
M30,accel,EURCHF,96,2.5,192,-0.79,-0.737,-0.875,129,43.4,-13.99,-2.45,1/7
M30,accel,GBPCHF,12,1.5,48,-0.384,0.006,-1.253,2160,52.2,-1.09,-1.2,1/7
M30,accel,GBPCHF,12,1.5,192,-0.513,-0.185,-1.26,1962,52.8,-1.63,-1.59,1/7
M30,accel,GBPCHF,12,2.0,48,-0.362,-0.442,-0.202,1283,49.9,-1.56,-1.17,3/7
M30,accel,GBPCHF,12,2.0,192,-0.481,-0.58,-0.282,976,50.8,-3.19,-1.55,2/7
M30,accel,GBPCHF,12,2.5,48,0.039,0.023,0.07,585,50.8,0.26,0.12,3/7
M30,accel,GBPCHF,12,2.5,192,-0.224,-0.286,-0.084,432,53.0,-3.17,-0.73,3/7
M30,accel,GBPCHF,24,1.5,48,-0.77,-0.609,-1.153,1309,51.5,-3.19,-2.4,1/7
M30,accel,GBPCHF,24,1.5,192,-0.703,-0.418,-1.311,1095,51.4,-3.71,-2.14,1/7
M30,accel,GBPCHF,24,2.0,48,-0.635,-0.682,-0.561,778,52.2,-3.8,-1.97,1/7
M30,accel,GBPCHF,24,2.0,192,-0.211,-0.1,-0.444,614,51.6,-1.93,-0.66,3/7
M30,accel,GBPCHF,24,2.5,48,-0.249,-0.377,0.01,368,53.5,-2.36,-0.77,3/7
M30,accel,GBPCHF,24,2.5,192,-0.319,-0.259,-0.425,307,56.7,-5.15,-0.98,1/7
M30,accel,GBPCHF,48,1.5,48,0.018,-0.321,0.682,779,52.1,0.1,0.06,4/7
M30,accel,GBPCHF,48,1.5,192,0.237,-0.184,1.097,646,59.6,2.14,0.74,5/7
M30,accel,GBPCHF,48,2.0,48,0.292,0.081,0.71,462,55.2,2.3,0.9,5/7
M30,accel,GBPCHF,48,2.0,192,-0.184,-0.438,0.363,408,56.4,-2.45,-0.57,3/7
M30,accel,GBPCHF,48,2.5,48,0.372,0.308,0.545,218,54.6,4.8,1.13,4/7
M30,accel,GBPCHF,48,2.5,192,0.151,0.149,0.155,207,60.4,3.31,0.46,5/7
M30,accel,GBPCHF,96,1.5,48,0.304,0.365,0.186,573,52.2,2.34,0.93,6/7
M30,accel,GBPCHF,96,1.5,192,0.064,0.073,0.048,373,57.6,0.98,0.2,3/7
M30,accel,GBPCHF,96,2.0,48,0.308,0.582,-0.289,305,52.5,3.26,0.94,5/7
M30,accel,GBPCHF,96,2.0,192,-0.316,-0.008,-0.953,232,54.7,-6.62,-0.97,2/7
M30,accel,GBPCHF,96,2.5,48,0.404,0.763,-0.215,124,51.6,6.7,1.22,4/7
M30,accel,GBPCHF,96,2.5,192,-0.173,0.054,-0.662,108,50.9,-5.53,-0.52,3/7
M30,accel,AUDCHF,12,1.5,48,-0.221,-0.072,-0.496,2213,54.9,-0.68,-0.64,2/7
M30,accel,AUDCHF,12,1.5,192,-0.235,-0.067,-0.547,2020,55.8,-0.82,-0.68,2/7
M30,accel,AUDCHF,12,2.0,48,0.116,0.197,-0.052,1267,54.9,0.58,0.35,4/7
M30,accel,AUDCHF,12,2.0,192,0.085,-0.066,0.434,993,58.3,0.62,0.26,2/7
M30,accel,AUDCHF,12,2.5,48,-0.45,-0.235,-0.874,534,49.8,-4.22,-1.38,1/7
M30,accel,AUDCHF,12,2.5,192,-0.484,-0.325,-0.748,403,51.9,-8.54,-1.48,3/7
M30,accel,AUDCHF,24,1.5,48,-1.037,-0.917,-1.259,1321,52.1,-5.47,-3.29,0/7
M30,accel,AUDCHF,24,1.5,192,-0.941,-0.948,-0.931,1078,53.2,-6.75,-2.94,0/7
M30,accel,AUDCHF,24,2.0,48,-0.226,-0.388,0.092,809,51.9,-1.67,-0.73,2/7
M30,accel,AUDCHF,24,2.0,192,0.057,-0.122,0.382,641,56.0,0.66,0.18,3/7
M30,accel,AUDCHF,24,2.5,48,0.001,-0.029,0.057,379,53.6,0.01,0.0,3/7
M30,accel,AUDCHF,24,2.5,192,0.036,0.01,0.075,320,56.6,0.7,0.11,5/7
M30,accel,AUDCHF,48,1.5,48,0.175,0.17,0.185,795,51.7,1.33,0.54,4/7
M30,accel,AUDCHF,48,1.5,192,0.463,0.387,0.591,650,58.0,5.36,1.45,5/7
M30,accel,AUDCHF,48,2.0,48,0.211,-0.06,0.7,454,54.2,2.1,0.65,5/7
M30,accel,AUDCHF,48,2.0,192,0.676,0.562,0.868,399,56.9,10.75,2.08,6/7
M30,accel,AUDCHF,48,2.5,48,0.24,0.417,-0.149,220,58.2,4.17,0.74,5/7
M30,accel,AUDCHF,48,2.5,192,0.573,0.921,-0.037,207,57.0,14.64,1.76,4/7
M30,accel,AUDCHF,96,1.5,48,0.263,0.417,-0.074,593,52.8,2.9,0.89,5/7
M30,accel,AUDCHF,96,1.5,192,0.31,0.644,-0.421,380,54.5,6.1,1.03,5/7
M30,accel,AUDCHF,96,2.0,48,0.53,0.678,0.275,314,51.9,7.27,1.62,4/7
M30,accel,AUDCHF,96,2.0,192,-0.059,-0.005,-0.169,233,50.6,-1.45,-0.18,4/7
M30,accel,AUDCHF,96,2.5,48,0.522,0.57,0.483,140,55.7,10.93,1.6,5/7
M30,accel,AUDCHF,96,2.5,192,0.178,0.14,0.234,121,52.1,6.97,0.54,5/7
M30,accel,EURCAD,12,1.5,48,-0.605,-0.614,-0.615,2156,54.0,-1.45,-1.84,1/7
M30,accel,EURCAD,12,1.5,192,-0.583,-0.55,-0.686,1959,54.2,-1.58,-1.77,2/7
M30,accel,EURCAD,12,2.0,48,-0.405,-0.264,-0.761,1264,53.9,-1.44,-1.25,2/7
M30,accel,EURCAD,12,2.0,192,-0.366,-0.163,-0.841,971,54.5,-1.91,-1.14,2/7
M30,accel,EURCAD,12,2.5,48,0.017,0.029,-0.012,573,52.5,0.1,0.05,4/7
M30,accel,EURCAD,12,2.5,192,-0.165,0.104,-0.739,419,54.4,-1.69,-0.51,2/7
M30,accel,EURCAD,24,1.5,48,-0.232,-0.088,-0.54,1328,54.3,-0.83,-0.71,3/7
M30,accel,EURCAD,24,1.5,192,-0.214,-0.087,-0.475,1117,54.9,-0.99,-0.65,3/7
M30,accel,EURCAD,24,2.0,48,-0.196,-0.315,0.061,798,50.8,-0.97,-0.61,3/7
M30,accel,EURCAD,24,2.0,192,0.11,0.155,0.013,647,53.2,0.85,0.34,4/7
M30,accel,EURCAD,24,2.5,48,0.015,0.08,-0.107,393,52.7,0.11,0.05,3/7
M30,accel,EURCAD,24,2.5,192,0.337,0.273,0.457,329,53.8,4.01,1.03,5/7
M30,accel,EURCAD,48,1.5,48,-0.061,0.197,-0.523,762,50.5,-0.32,-0.19,3/7
M30,accel,EURCAD,48,1.5,192,-0.131,0.034,-0.463,636,55.7,-1.05,-0.41,3/7
M30,accel,EURCAD,48,2.0,48,0.142,0.504,-0.459,454,49.3,0.98,0.44,3/7
M30,accel,EURCAD,48,2.0,192,0.182,0.184,0.184,397,56.9,2.12,0.57,4/7
M30,accel,EURCAD,48,2.5,48,-0.092,-0.232,0.135,227,47.6,-0.91,-0.28,3/7
M30,accel,EURCAD,48,2.5,192,0.499,0.197,1.132,209,56.9,8.73,1.52,6/7
M30,accel,EURCAD,96,1.5,48,0.4,0.297,0.626,612,52.1,2.35,1.23,6/7
M30,accel,EURCAD,96,1.5,192,0.475,0.115,1.269,387,59.7,5.51,1.46,6/7
M30,accel,EURCAD,96,2.0,48,0.654,0.718,0.539,315,54.6,5.97,2.01,6/7
M30,accel,EURCAD,96,2.0,192,0.284,0.07,0.789,245,56.3,4.56,0.87,5/7
M30,accel,EURCAD,96,2.5,48,0.065,-0.315,0.849,153,51.0,0.88,0.2,5/7
M30,accel,EURCAD,96,2.5,192,0.097,0.032,0.26,131,55.7,2.29,0.29,5/7
M30,accel,GBPCAD,12,1.5,48,-0.684,-0.602,-0.919,2150,53.2,-1.87,-2.13,2/7
M30,accel,GBPCAD,12,1.5,192,-0.737,-0.649,-0.98,1939,53.6,-2.29,-2.28,1/7
M30,accel,GBPCAD,12,2.0,48,-0.457,-0.081,-1.468,1267,52.2,-1.86,-1.45,1/7
M30,accel,GBPCAD,12,2.0,192,-0.301,0.038,-1.151,1001,54.3,-1.81,-0.94,1/7
M30,accel,GBPCAD,12,2.5,48,0.328,0.475,-0.047,584,51.9,2.29,1.06,5/7
M30,accel,GBPCAD,12,2.5,192,0.372,0.363,0.416,432,55.6,4.48,1.18,5/7
M30,accel,GBPCAD,24,1.5,48,-0.281,-0.192,-0.487,1347,52.5,-1.06,-0.86,2/7
M30,accel,GBPCAD,24,1.5,192,-0.289,-0.239,-0.413,1147,54.1,-1.45,-0.87,3/7
M30,accel,GBPCAD,24,2.0,48,0.316,0.405,0.12,783,52.7,1.67,1.0,3/7
M30,accel,GBPCAD,24,2.0,192,0.116,0.213,-0.089,609,54.8,1.04,0.36,4/7
M30,accel,GBPCAD,24,2.5,48,0.615,0.668,0.53,349,57.0,5.69,1.9,5/7
M30,accel,GBPCAD,24,2.5,192,0.301,0.28,0.355,297,58.6,4.66,0.92,7/7
M30,accel,GBPCAD,48,1.5,48,0.411,0.467,0.307,791,53.6,2.22,1.28,5/7
M30,accel,GBPCAD,48,1.5,192,0.365,0.492,0.076,652,58.0,3.25,1.13,5/7
