cong cu,N,k,thoat,ALL,FORM,OOS,n,thang%,net,t
EURGBP,48,1.5,time_only,0.161,0.353,-0.287,201,57.2,3.28,0.49
EURGBP,48,1.5,time_only_2x,0.218,0.309,-0.013,159,65.4,6.17,0.67
EURGBP,48,2.0,time_only,0.024,0.328,-0.781,139,53.2,0.63,0.07
EURGBP,48,2.0,time_only_2x,0.19,0.431,-0.524,113,61.9,7.47,0.58
EURGBP,48,2.5,time_only,0.15,0.411,-0.473,86,50.0,4.92,0.46
EURGBP,48,2.5,time_only_2x,0.208,0.36,-0.176,74,58.1,9.77,0.64
EURGBP,96,1.5,time_only,0.54,0.674,0.22,119,61.3,20.33,1.67
EURGBP,96,1.5,time_only_2x,0.738,1.047,0.093,94,71.3,27.05,2.31
EURGBP,96,2.0,time_only,0.286,0.436,-0.157,80,55.0,14.41,0.87
EURGBP,96,2.0,time_only_2x,0.152,0.379,-0.341,61,62.3,8.89,0.46
EURGBP,96,2.5,time_only,0.215,0.34,-0.258,50,56.0,16.82,0.65
EURGBP,96,2.5,time_only_2x,0.249,0.571,-0.456,42,54.8,17.83,0.75
GBPNZD,12,1.5,time_only,0.707,0.978,0.182,532,55.3,5.92,2.18
GBPNZD,12,1.5,time_only_2x,0.784,1.35,-0.266,422,57.8,9.14,2.42
GBPNZD,12,2.0,time_only,0.419,1.07,-0.995,146,52.1,6.98,1.29
GBPNZD,12,2.0,time_only_2x,0.53,0.89,-0.3,132,56.8,13.14,1.64
GBPNZD,24,1.5,time_only,0.846,1.308,-0.03,356,59.0,11.87,2.62
GBPNZD,24,1.5,time_only_2x,0.516,0.837,-0.115,270,61.9,10.36,1.59
GBPNZD,24,2.0,time_only,0.383,0.662,-0.128,214,56.1,7.11,1.18
GBPNZD,24,2.0,time_only_2x,0.169,0.517,-0.548,172,53.5,4.81,0.52
GBPNZD,24,2.5,time_only,0.272,0.619,-0.412,75,58.7,8.74,0.83
GBPNZD,24,2.5,time_only_2x,0.283,0.598,-0.34,73,49.3,12.68,0.86
