nhóm,họ,cặp,tf,ALL,FORM,OOS,ann%,maxDD%,n_lệnh,gross,phí,swap,net,giữ,%tt
XU HƯỚNG,adx_trend,GBPUSD,H4,-0.296,-0.359,-0.178,-2.05,17.06,216,-1.11,1.32,1.3,-3.72,19.6,0.42
HỒI QUY,rsi_mr,GBPUSD,H4,0.185,0.327,-0.085,0.94,9.93,163,8.86,1.22,1.14,6.5,17.2,0.28
HỒI QUY,bb_mr,GBPUSD,H4,0.227,0.377,-0.075,1.59,11.28,366,3.23,1.22,0.84,1.18,12.6,0.46
HỒI QUY,stoch_mr,GBPUSD,H4,0.165,0.232,0.031,1.28,17.86,675,1.27,1.22,0.52,-0.47,7.9,0.53
BIẾN ĐỘNG,squeeze,GBPUSD,H4,-0.111,-0.446,0.644,-0.37,8.97,183,0.47,1.22,0.34,-1.08,5.1,0.09
BIẾN ĐỘNG,range_expand,GBPUSD,H4,-0.03,0.037,-0.199,-0.09,9.24,393,0.43,1.22,0.2,-0.99,3.0,0.12
XU HƯỚNG,ma_cross,EURUSD,D1,0.092,0.49,-0.563,0.82,18.57,12,19.4,1.96,56.05,-38.61,135.7,1.0
XU HƯỚNG,macd,EURUSD,D1,-0.098,0.049,-0.348,-0.61,13.07,78,2.16,0.96,4.42,-3.22,11.1,0.51
XU HƯỚNG,donchian,EURUSD,D1,-0.252,-0.144,-0.432,-1.78,17.94,27,-38.51,0.98,14.77,-54.26,36.6,0.59
XU HƯỚNG,keltner,EURUSD,D1,-0.329,-0.136,-0.655,-1.96,18.73,54,-22.82,0.96,5.67,-29.46,14.3,0.45
XU HƯỚNG,adx_trend,EURUSD,D1,0.073,0.253,-0.189,0.42,9.52,36,-9.98,1.11,8.65,-19.74,21.8,0.46
HỒI QUY,rsi_mr,EURUSD,D1,-0.019,-0.042,0.01,-0.09,9.76,27,13.52,0.96,7.05,5.51,17.8,0.28
HỒI QUY,bb_mr,EURUSD,D1,-0.091,-0.163,0.031,-0.53,11.08,63,10.5,0.96,5.03,4.51,12.7,0.47
HỒI QUY,stoch_mr,EURUSD,D1,-0.214,-0.581,0.42,-1.35,17.94,117,-1.7,0.96,3.15,-5.81,7.9,0.55
BIẾN ĐỘNG,squeeze,EURUSD,D1,-0.097,0.045,-0.286,-0.32,6.05,42,-1.73,0.98,2.03,-4.74,5.1,0.13
BIẾN ĐỘNG,range_expand,EURUSD,D1,0.044,-0.179,0.469,0.16,6.54,72,6.23,0.97,1.25,4.02,3.2,0.13
XU HƯỚNG,ma_cross,GBPUSD,D1,-0.044,0.208,-0.548,-0.44,26.17,10,99.03,2.69,66.87,29.47,160.6,1.0
XU HƯỚNG,macd,GBPUSD,D1,-0.068,0.063,-0.323,-0.5,11.25,64,-3.13,1.31,5.37,-9.81,13.5,0.51
XU HƯỚNG,donchian,GBPUSD,D1,-0.432,-0.14,-1.002,-3.4,29.58,27,-63.86,1.31,14.02,-79.2,35.3,0.57
XU HƯỚNG,keltner,GBPUSD,D1,-0.336,0.034,-1.077,-2.2,21.99,47,-20.27,1.33,5.87,-27.47,14.7,0.41
XU HƯỚNG,adx_trend,GBPUSD,D1,-0.445,-0.375,-0.572,-2.88,20.54,32,-68.76,1.44,7.8,-78.0,19.7,0.37
HỒI QUY,rsi_mr,GBPUSD,D1,0.154,-0.208,0.981,0.8,14.5,25,31.12,1.31,5.87,23.94,14.8,0.22
HỒI QUY,bb_mr,GBPUSD,D1,-0.013,-0.204,0.413,-0.09,17.27,69,17.78,1.31,4.68,11.79,11.8,0.48
HỒI QUY,stoch_mr,GBPUSD,D1,-0.66,-1.041,0.122,-5.14,40.63,112,-17.17,1.32,3.36,-21.85,8.4,0.56
BIẾN ĐỘNG,squeeze,GBPUSD,D1,-0.405,-0.448,-0.332,-1.35,10.3,38,-19.04,1.31,2.04,-22.39,5.1,0.12
BIẾN ĐỘNG,range_expand,GBPUSD,D1,-0.357,-0.382,-0.317,-1.37,12.83,67,8.74,1.37,1.3,6.07,3.2,0.13
