symbol,rule,n_trades,gross_bps,t,hit_rate,cost_bps,net_bps,ratio,ann_net_pct,sharpe
AUDUSD,h17_usd+,1659,0.5283,1.38,0.4358,2.5343,-2.0059,0.21,-5.09,-2.05
AUDUSD,h17_usd-,1659,-0.5283,-1.38,0.4027,2.5343,-3.0626,-0.21,-7.77,-3.12
AUDUSD,h18_usd+,1637,0.0387,0.13,0.3763,2.5343,-2.4956,0.02,-6.25,-3.28
AUDUSD,h18_usd-,1637,-0.0387,-0.13,0.3995,2.5343,-2.5729,-0.02,-6.44,-3.39
AUDUSD,h19_usd+,1552,-0.2108,-0.58,0.3647,2.5343,-2.7451,-0.08,-6.52,-2.94
AUDUSD,h19_usd-,1552,0.2108,0.58,0.3853,2.5343,-2.3234,0.08,-5.52,-2.49
AUDUSD,h20_usd+,1553,-0.3286,-0.87,0.3748,2.5343,-2.8629,-0.13,-6.8,-2.97
AUDUSD,h20_usd-,1553,0.3286,0.87,0.4012,2.5343,-2.2056,0.13,-5.24,-2.29
AUDUSD,h21_usd+,1497,0.0792,0.27,0.3554,2.5343,-2.4551,0.03,-5.62,-3.29
AUDUSD,h21_usd-,1497,-0.0792,-0.27,0.3647,2.5343,-2.6135,-0.03,-5.98,-3.5
AUDUSD,h22_usd+,793,-0.2943,-0.94,0.3241,2.5343,-2.8286,-0.12,-3.43,-3.55
AUDUSD,h22_usd-,793,0.2943,0.94,0.3291,2.5343,-2.24,0.12,-2.72,-2.81
AUDUSD,h23_usd+,220,5.3071,3.3,0.4636,2.5343,2.7728,2.09,0.93,0.67
AUDUSD,h23_usd-,220,-5.3071,-3.3,0.2818,2.5343,-7.8414,-2.09,-2.64,-1.91
USDCAD,h00_usd+,917,-0.1006,-0.35,0.3457,1.5883,-1.6889,-0.06,-2.37,-2.27
USDCAD,h00_usd-,917,0.1006,0.35,0.4188,1.5883,-1.4877,0.06,-2.09,-2.0
USDCAD,h01_usd+,1251,0.1713,0.84,0.3709,1.5883,-1.417,0.11,-2.71,-2.72
USDCAD,h01_usd-,1251,-0.1713,-0.84,0.3693,1.5883,-1.7596,-0.11,-3.37,-3.38
USDCAD,h02_usd+,1638,0.0513,0.27,0.4078,1.5883,-1.537,0.03,-3.85,-3.19
USDCAD,h02_usd-,1638,-0.0513,-0.27,0.3895,1.5883,-1.6396,-0.03,-4.11,-3.41
USDCAD,h03_usd+,1653,-0.1945,-1.1,0.3702,1.5883,-1.7828,-0.12,-4.51,-3.93
USDCAD,h03_usd-,1653,0.1945,1.1,0.3793,1.5883,-1.3938,0.12,-3.52,-3.07
USDCAD,h04_usd+,1607,0.1369,1.04,0.3603,1.5883,-1.4514,0.09,-3.57,-4.3
USDCAD,h04_usd-,1607,-0.1369,-1.04,0.3479,1.5883,-1.7252,-0.09,-4.24,-5.12
USDCAD,h05_usd+,1511,0.028,0.23,0.3289,1.5883,-1.5603,0.02,-3.61,-4.97
USDCAD,h05_usd-,1511,-0.028,-0.23,0.3243,1.5883,-1.6163,-0.02,-3.74,-5.14
USDCAD,h06_usd+,1467,-0.0336,-0.26,0.3476,1.5883,-1.6219,-0.02,-3.64,-4.91
USDCAD,h06_usd-,1467,0.0336,0.26,0.3272,1.5883,-1.5548,0.02,-3.49,-4.71
USDCAD,h07_usd+,1579,-0.2338,-1.46,0.3452,1.5883,-1.8221,-0.15,-4.4,-4.44
USDCAD,h07_usd-,1579,0.2338,1.46,0.3686,1.5883,-1.3545,0.15,-3.27,-3.3
USDCAD,h08_usd+,1674,0.2342,1.18,0.4253,1.5883,-1.3541,0.15,-3.47,-2.67
USDCAD,h08_usd-,1674,-0.2342,-1.18,0.3984,1.5883,-1.8225,-0.15,-4.67,-3.6
USDCAD,h09_usd+,1691,-0.1971,-0.84,0.4128,1.5883,-1.7854,-0.12,-4.62,-2.98
USDCAD,h09_usd-,1691,0.1971,0.84,0.4092,1.5883,-1.3912,0.12,-3.6,-2.32
USDCAD,h10_usd+,1678,0.3019,1.53,0.4094,1.5883,-1.2864,0.19,-3.3,-2.56
USDCAD,h10_usd-,1678,-0.3019,-1.53,0.4052,1.5883,-1.8902,-0.19,-4.85,-3.76
USDCAD,h11_usd+,1680,0.3021,1.69,0.4,1.5883,-1.2862,0.19,-3.3,-2.81
USDCAD,h11_usd-,1680,-0.3021,-1.69,0.3696,1.5883,-1.8904,-0.19,-4.86,-4.13
USDCAD,h12_usd+,1669,0.2459,1.35,0.3954,1.5883,-1.3424,0.15,-3.43,-2.87
USDCAD,h12_usd-,1669,-0.2459,-1.35,0.3793,1.5883,-1.8342,-0.15,-4.68,-3.92
USDCAD,h13_usd+,1674,0.4184,1.95,0.4552,1.5883,-1.1699,0.26,-3.0,-2.13
USDCAD,h13_usd-,1674,-0.4184,-1.95,0.3919,1.5883,-2.0067,-0.26,-5.14,-3.66
USDCAD,h14_usd+,1693,-0.0843,-0.25,0.4383,1.5883,-1.6726,-0.05,-4.33,-1.97
USDCAD,h14_usd-,1693,0.0843,0.25,0.433,1.5883,-1.5041,0.05,-3.89,-1.77
USDCAD,h15_usd+,1695,-0.1864,-0.59,0.436,1.5883,-1.7747,-0.12,-4.6,-2.2
USDCAD,h15_usd-,1695,0.1864,0.59,0.446,1.5883,-1.4019,0.12,-3.63,-1.74
USDCAD,h16_usd+,1693,-0.2291,-0.6,0.4424,1.5883,-1.8174,-0.14,-4.71,-1.85
USDCAD,h16_usd-,1693,0.2291,0.6,0.4477,1.5883,-1.3592,0.14,-3.52,-1.38
USDCAD,h17_usd+,1687,-0.5428,-1.9,0.4203,1.5883,-2.1311,-0.34,-5.5,-2.92
USDCAD,h17_usd-,1687,0.5428,1.9,0.4475,1.5883,-1.0455,0.34,-2.7,-1.43
USDCAD,h18_usd+,1669,0.0334,0.16,0.4002,1.5883,-1.5549,0.02,-3.97,-2.96
USDCAD,h18_usd-,1669,-0.0334,-0.16,0.4074,1.5883,-1.6217,-0.02,-4.14,-3.09
USDCAD,h19_usd+,1657,0.05,0.22,0.3923,1.5883,-1.5383,0.03,-3.9,-2.66
USDCAD,h19_usd-,1657,-0.05,-0.22,0.3983,1.5883,-1.6383,-0.03,-4.15,-2.83
USDCAD,h20_usd+,1646,-0.1712,-0.73,0.3961,1.5883,-1.7595,-0.11,-4.43,-2.92
USDCAD,h20_usd-,1646,0.1712,0.73,0.4125,1.5883,-1.4171,0.11,-3.57,-2.35
USDCAD,h21_usd+,1614,0.3407,1.7,0.3848,1.5883,-1.2476,0.21,-3.08,-2.44
USDCAD,h21_usd-,1614,-0.3407,-1.7,0.3903,1.5883,-1.929,-0.21,-4.76,-3.77
USDCAD,h22_usd+,1207,-0.1171,-0.51,0.3455,1.5883,-1.7054,-0.07,-3.15,-2.92
USDCAD,h22_usd-,1207,0.1171,0.51,0.3853,1.5883,-1.4712,0.07,-2.72,-2.52
USDCAD,h23_usd+,253,1.3897,1.68,0.3755,1.5883,-0.1986,0.87,-0.08,-0.09
USDCAD,h23_usd-,253,-1.3897,-1.68,0.2648,1.5883,-2.978,-0.87,-1.15,-1.41
USDCHF,h00_usd+,773,-0.143,-0.35,0.3661,1.7226,-1.8656,-0.08,-2.21,-1.81
USDCHF,h00_usd-,773,0.143,0.35,0.4049,1.7226,-1.5797,0.08,-1.87,-1.53
USDCHF,h01_usd+,1046,-0.0164,-0.06,0.3977,1.7226,-1.739,-0.01,-2.78,-2.45
USDCHF,h01_usd-,1046,0.0164,0.06,0.4025,1.7226,-1.7063,0.01,-2.73,-2.41
