session,t_entry,t_exit,instrument,side,entry_px,stop_px,tp1_px,tp2_px,sl_pips,rr1,rr2,asia_range_pips,depth_pips,h1_bias,outcome,r_gross,cost_r,r_net,minutes
2024-08-05,2024-08-06 07:15:00,2024-08-06 07:38:00,EURUSD,1,1.093615,1.0928250000000002,1.096315,1.0964450000000001,7.899999999998464,3.417721518987911,3.5822784810134944,28.649999999998954,3.249999999999087,1,SL,-1.0,0.12438750510416398,-1.124387505104164,23.0
2024-08-20,2024-08-21 08:00:00,2024-08-21 14:00:00,EURUSD,1,1.11144,1.1107500000000001,1.11326,1.1151999999999997,6.899999999998574,2.6376811594207377,5.449275362319624,19.399999999998307,2.6999999999999247,1,SL,-1.0,0.13708719410789377,-1.1370871941078937,360.0
2024-08-29,2024-08-30 08:00:00,2024-08-30 08:28:00,EURUSD,-1,1.10842,1.109195,1.1069849999999999,1.105565,7.749999999999702,1.8516129032259747,3.6838709677421444,15.900000000002024,3.1999999999987594,-1,SL,-1.0,0.12408102025506315,-1.124081020255063,28.0
2024-10-14,2024-10-15 09:15:00,2024-10-15 20:00:00,EURUSD,-1,1.090925,1.09176,1.088495,1.086005,8.350000000001412,2.9101796407179896,5.892215568861055,24.899999999998812,4.750000000002252,-1,TP1_TIME,2.772455089819705,0.10496653751320835,2.6674885523064966,645.0
2024-10-17,2024-10-18 12:00:00,2024-10-18 12:34:00,EURUSD,-1,1.0848149999999999,1.085495,1.0827499999999999,1.08253,6.80000000000236,3.036764705881275,3.360294117645702,21.200000000001218,3.2500000000013074,-1,SL,-1.0,0.13196930946285554,-1.1319693094628556,34.0
2024-11-06,2024-11-07 10:00:00,2024-11-07 10:16:00,EURUSD,-1,1.0746449999999999,1.07588,1.071295,1.070295,12.350000000000971,2.712550607287027,3.5222672064773377,37.599999999997635,5.250000000001087,-1,SL,-1.0,0.07899444496751498,-1.078994444967515,16.0
2024-11-14,2024-11-15 07:45:00,2024-11-15 08:38:00,EURUSD,-1,1.055745,1.0567,1.052375,1.0513599999999999,9.550000000000392,3.528795811518047,4.591623036649113,37.69999999999829,2.5500000000011624,-1,SL,-1.0,0.10097232610327705,-1.100972326103277,53.0
2024-12-02,2024-12-03 08:00:00,2024-12-03 08:17:00,EURUSD,-1,1.04982,1.051045,1.0480749999999999,1.046075,12.250000000000316,1.4244897959184184,3.0571428571426864,20.80000000000304,5.899999999998684,-1,SL,-1.0,0.07377298026649043,-1.0737729802664904,17.0
2024-12-03,2024-12-04 09:15:00,2024-12-04 13:49:00,EURUSD,1,1.04904,1.04796,1.05291,1.0530849999999998,10.799999999999699,3.5833333333334703,3.74537037037034,41.05000000000025,5.450000000000177,1,SL,-1.0,0.08822601010101874,-1.0882260101010188,274.0
2024-12-08,2024-12-09 09:45:00,2024-12-09 10:09:00,EURUSD,-1,1.05648,1.057715,1.05321,1.0523449999999999,12.34999999999875,2.6477732793525806,3.34817813765234,33.84999999999971,8.20000000000043,-1,SL,-1.0,0.07476121221651172,-1.0747612122165118,24.0
2024-12-17,2024-12-18 09:00:00,2024-12-18 12:57:00,EURUSD,1,1.04932,1.048705,1.05119,1.051285,6.150000000000322,3.040650406503968,3.195121951219336,19.000000000000128,2.8500000000009074,1,SL,-1.0,0.15255321092534163,-1.1525532109253416,237.0
2025-01-30,2025-01-31 08:15:00,2025-01-31 15:58:00,EURUSD,-1,1.039905,1.04098,1.0377049999999999,1.0351599999999999,10.749999999999371,2.046511627907284,4.413953488372557,25.450000000000195,4.300000000001525,-1,TP1_BE,1.023255813953642,0.10180297883458961,0.9214528351190525,463.0
2025-02-09,2025-02-10 07:15:00,2025-02-10 09:04:00,EURUSD,-1,1.032075,1.0328449999999998,1.0298699999999998,1.028655,7.699999999997154,2.8636363636377267,4.441558441560056,22.900000000003473,3.8499999999963563,-1,SL,-1.0,0.14781095193473096,-1.147810951934731,109.0
2025-02-27,2025-02-28 09:30:00,2025-02-28 13:01:00,EURUSD,-1,1.0402049999999998,1.04095,1.03805,1.0356649999999998,7.450000000002177,2.8926174496634594,6.093959731541828,23.850000000000815,2.1500000000007624,-1,SL,-1.0,0.15570469798647255,-1.1557046979864725,211.0
2025-03-16,2025-03-17 08:00:00,2025-03-17 11:03:00,EURUSD,1,1.0876350000000001,1.08675,1.0893899999999999,1.09115,8.850000000000247,1.9830508474572657,3.971751412429194,20.400000000000418,2.999999999997449,1,TP1_TP2,2.97740112994323,0.12833464287049548,2.8490664870727342,183.0
2025-04-30,2025-05-01 11:45:00,2025-05-01 14:19:00,EURUSD,-1,1.132905,1.134145,1.12881,1.128775,12.399999999999078,3.3024193548389227,3.3306451612905437,41.349999999999994,8.999999999999009,-1,TP1_TP2,3.316532258064733,0.10923753665688136,3.2072947214078518,154.0
2025-05-15,2025-05-16 10:45:00,2025-05-16 14:02:00,EURUSD,1,1.11937,1.1185100000000001,1.12196,1.122385,8.599999999998609,3.011627906977339,3.5058139534889277,29.000000000001247,2.4999999999986144,1,SL,-1.0,0.14107387140902106,-1.141073871409021,197.0
2025-05-21,2025-05-22 07:30:00,2025-05-22 07:30:00,EURUSD,1,1.132085,1.1310550000000001,1.1344949999999998,1.13531,10.299999999998644,2.3398058252428338,3.1310679611654932,27.54999999999841,3.849999999998577,1,SL,-1.0,0.12846461008457732,-1.1284646100845772,0.0
