nhóm,họ,cặp,tf,ALL,FORM,OOS,ann%,maxDD%,n_lệnh,gross,phí,swap,net,giữ,%tt
?,bb_adx<25,GBPUSD,H4,-0.237,-0.338,-0.037,-1.03,13.46,282,-0.91,1.22,0.45,-2.57,6.7,0.19
?,bb_volTHAP+adx,GBPUSD,H4,0.506,0.329,0.917,1.57,4.72,214,5.9,1.22,0.36,4.33,5.4,0.11
?,bb_mtf,GBPUSD,H4,0.438,0.691,-0.086,2.27,9.86,256,6.27,1.22,0.73,4.32,11.1,0.28
?,hop_luu_2/3,GBPUSD,H4,0.23,0.379,-0.062,1.57,11.06,369,3.65,1.22,0.81,1.62,12.3,0.45
?,hop_luu_3/3,GBPUSD,H4,0.238,0.344,0.046,1.1,6.73,146,4.25,1.22,0.96,2.07,14.5,0.21
?,pha_ASI->LON_b0.0,GBPUSD,H4,-0.492,-0.431,-0.648,-2.34,15.82,861,0.29,1.22,0.07,-1.0,1.0,0.08
?,pha_ASI->LON_b0.25,GBPUSD,H4,-0.254,-0.229,-0.355,-1.02,8.9,554,1.06,1.22,0.07,-0.22,1.0,0.05
?,pha_ASI->OVE_b0.0,GBPUSD,H4,-0.732,-1.038,-0.121,-2.3,17.45,1098,0.0,1.22,0.07,-1.28,1.0,0.11
?,pha_ASI->OVE_b0.25,GBPUSD,H4,-0.627,-0.887,-0.094,-1.79,14.24,880,0.01,1.22,0.07,-1.28,1.0,0.09
?,pha_LON->OVE_b0.0,GBPUSD,H4,-0.773,-0.935,-0.465,-2.36,15.6,936,-0.22,1.22,0.07,-1.5,1.0,0.09
?,pha_LON->OVE_b0.25,GBPUSD,H4,-0.853,-1.173,-0.224,-2.33,16.38,703,-0.78,1.22,0.07,-2.07,1.0,0.07
?,pha_ngay_truoc,GBPUSD,H4,-0.856,-1.026,-0.548,-6.11,42.45,1028,-1.3,1.28,0.34,-2.92,5.1,0.51
